statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08311KRSI;Freiburg im Breisgau, Stadtkreis;1552;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08311KRSI;Freiburg im Breisgau, Stadtkreis;153039723;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08415KRSI;Reutlingen, Landkreis;283;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08415KRSI;Reutlingen, Landkreis;1027841838;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08216KRSI;Rastatt, Landkreis;312;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08216KRSI;Rastatt, Landkreis;738433434;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;KRSI;Kreise;08416KRSI;Tübingen, Landkreis;449;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;KRSI;Kreise;08416KRSI;Tübingen, Landkreis;519117724;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08115KRSI;Böblingen, Landkreis;640;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08115KRSI;Böblingen, Landkreis;617765397;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;KRSI;Kreise;08111KRSI;Stuttgart, Stadtkreis;2957;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;KRSI;Kreise;08111KRSI;Stuttgart, Stadtkreis;207332184;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;KRSI;Kreise;08121KRSI;Heilbronn, Stadtkreis;1318;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;KRSI;Kreise;08121KRSI;Heilbronn, Stadtkreis;99889732;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08135KRSI;Heidenheim, Landkreis;216;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08135KRSI;Heidenheim, Landkreis;627134623;m²;FLC006;Gebietsfläche
